Date,Time,Price
20250627,145700,22758.25
20250627,145800,22757.25
20250627,145900,22758
20250627,150000,22759.5
20250627,150100,22760.25
20250627,150200,22750.25
20250627,150300,22753.25
20250627,150400,22760
20250627,150500,22768.5
20250627,150600,22769.25
20250627,150700,22768.25
20250627,150800,22781
20250627,150900,22778.25
20250627,151000,22775
20250627,151100,22776
20250627,151200,22776.5
20250627,151300,22777
20250627,151400,22782
20250627,151500,22780.5
20250627,151600,22778.75
20250627,151700,22777.25
20250627,151800,22765.25
20250627,151900,22765.5
20250627,152000,22766.5
20250627,152100,22774.25
20250627,152200,22769.5
20250627,152300,22781.25
20250627,152400,22788
20250627,152500,22788.5
20250627,152600,22788.5
20250627,152700,22785.25
20250627,152800,22787.75
20250627,152900,22784.25
20250627,153000,22788
20250627,153100,22792.25
20250627,153200,22793.25
20250627,153300,22801.25
20250627,153400,22804.5
20250627,153500,22804
20250627,153600,22807.25
20250627,153700,22806.5
20250627,153800,22809.75
20250627,153900,22807.25
20250627,154000,22810
20250627,154100,22811.75
20250627,154200,22812.75
20250627,154300,22811.5
20250627,154400,22809
20250627,154500,22812
20250627,154600,22814.5
20250627,154700,22809
20250627,154800,22817
20250627,154900,22815
20250627,155000,22816.5
20250627,155100,22818.75
20250627,155200,22813.5
20250627,155300,22809
20250627,155400,22808.25
20250627,155500,22809
20250627,155600,22813.5
20250627,155700,22816.25
20250627,155800,22811.5
20250627,155900,22810.75
20250627,160000,22814
20250627,160100,22809.25
20250627,160200,22799.5
20250627,160300,22798.75
20250627,160400,22802
20250627,160500,22804.5
20250627,160600,22801
20250627,160700,22806
20250627,160800,22806
20250627,160900,22804.25
20250627,161000,22801.5
20250627,161100,22803.25
20250627,161200,22802
20250627,161300,22801.25
20250627,161400,22807.75
20250627,161500,22805
20250627,161600,22801.25
20250627,161700,22799.75
20250627,161800,22792.5
20250627,161900,22794
20250627,162000,22788
20250627,162100,22783.5
20250627,162200,22786.5
20250627,162300,22791.25
20250627,162400,22788.25
20250627,162500,22782.75
20250627,162600,22784.25
20250627,162700,22793.5
20250627,162800,22792
20250627,162900,22792.25
20250627,163000,22797
20250627,163100,22796.75
20250627,163200,22793
20250627,163300,22798.25
20250627,163400,22794.25
20250627,163500,22795.25
20250627,163600,22791.5
20250627,163700,22789.75
20250627,163800,22785
20250627,163900,22788
20250627,164000,22787.75
20250627,164100,22787.25
20250627,164200,22790.25
20250627,164300,22785.5
20250627,164400,22779.5
20250627,164500,22777.75
20250627,164600,22779
20250627,164700,22778.5
20250627,164800,22775.5
20250627,164900,22776.75
20250627,165000,22774
20250627,165100,22775.5
20250627,165200,22776.75
20250627,165300,22785.25
20250627,165400,22787
20250627,165500,22785.75
20250627,165600,22787.5
